Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;39993; -1.045962580623E+02; -1.003337571528E-04; -2.824730551084E+02;  3.012165401549E+02
1;0.010086;39993; -2.712670354987E+02;  2.176285157881E-04; -4.349584541497E+02;  5.126155102849E+02
2;0.020045;39993; -1.694172713840E+02; -5.428678588354E-05; -6.084383865875E+02;  6.315848969984E+02
3;0.030051;39993; -2.556947479067E+02; -2.809654405106E-05; -4.853807098525E+02;  5.486111898276E+02
4;0.040062;39993; -2.215223991574E+02; -2.317099423722E-04; -5.440383045768E+02;  5.874094399780E+02
5;0.050050;39993; -2.185674785311E+02; -1.678086328394E-04; -5.800774824268E+02;  6.198883998673E+02
6;0.060079;39993; -2.550030831878E+02;  3.309918092680E-04; -5.736018985537E+02;  6.277306034118E+02
7;0.070082;39993; -1.987166022163E+02;  6.094261751011E-04; -6.159747959389E+02;  6.472350710744E+02
8;0.080050;39993; -2.652420070117E+02; -4.238512679992E-04; -6.011874602181E+02;  6.570994480345E+02
9;0.090017;39993; -2.051083007620E+02;  7.172570653884E-04; -7.030879725656E+02;  7.323947789331E+02
10;0.100012;39993; -2.723242660145E+02; -1.342101728787E-03; -6.400379563658E+02;  6.955638658320E+02
11;0.110072;39993; -1.951641329070E+02; -1.261568757920E-03; -7.154927789802E+02;  7.416326284271E+02
12;0.120041;39993; -2.522686749724E+02;  6.941130802709E-04; -7.256575783551E+02;  7.682567314362E+02
13;0.130008;39993; -2.150664583467E+02;  2.666619743852E-03; -7.442325071108E+02;  7.746841976918E+02
14;0.140083;39993; -2.380363567120E+02; -5.663314420573E-03; -7.378290461570E+02;  7.752760853411E+02
15;0.150050;39993; -2.163884370556E+02; -1.292408308196E-03; -7.641672974639E+02;  7.942138340562E+02
16;0.160033;39993; -2.134281090763E+02; -2.700858527414E-03; -7.677917730646E+02;  7.969038615397E+02
17;0.170073;39993; -1.962400961311E+02; -1.537407444935E-03; -7.625449897142E+02;  7.873912856199E+02
18;0.180026;39993; -2.030478499617E+02;  2.279607963761E-02; -7.966893446948E+02;  8.221571272232E+02
19;0.190051;39993; -2.056147481915E+02; -1.967010282141E-02; -7.796380218683E+02;  8.062957709200E+02
20;0.200050;39993; -1.813234990997E+02; -6.193973411854E-02; -7.501164745740E+02;  7.717207659443E+02
21;0.210003;39993; -1.969785762556E+02; -6.427834595272E-02; -7.302767913039E+02;  7.563760675435E+02
22;0.220038;39993; -1.867896432497E+02; -1.174571184492E-01; -7.619869603730E+02;  7.845473296112E+02
23;0.230068;39993; -1.946064225566E+02;  3.830007020104E-02; -7.518468236039E+02;  7.766243025623E+02
24;0.240049;39993; -1.717157252642E+02; -4.059999920893E-02; -7.384954561502E+02;  7.581964327968E+02
25;0.250017;39993; -1.750316796357E+02; -6.445203729541E-03; -7.183301084584E+02;  7.393471671924E+02
26;0.260082;39993; -1.778608123657E+02; -8.029462820988E-02; -7.255719662837E+02;  7.470536481936E+02
27;0.270030;39993; -1.568400685259E+02; -2.982269950228E-02; -7.249999923300E+02;  7.417707171782E+02
28;0.280052;39993; -1.633283959290E+02;  4.842226817009E-02; -7.249663774212E+02;  7.431368754494E+02
29;0.290033;39993; -1.514485256294E+02;  3.699589739506E-02; -7.329828082170E+02;  7.484653996183E+02
30;0.300011;39993; -1.476179072594E+02; -7.796852284835E-02; -7.129315042418E+02;  7.280538320503E+02
31;0.310026;39993; -1.551525375854E+02; -1.616981052176E-02; -7.372638436430E+02;  7.534124271101E+02
32;0.320045;39993; -1.382000922804E+02;  3.518875659084E-02; -7.252592283513E+02;  7.383090240904E+02
33;0.330016;39993; -1.413798084456E+02; -7.933958664848E-02; -7.321561940858E+02;  7.456815332761E+02
34;0.340059;39993; -1.417582172807E+02; -1.011300194632E-01; -7.057318786469E+02;  7.198283732477E+02
35;0.350022;39993; -1.198602615742E+02; -9.626522537862E-02; -6.856731334535E+02;  6.960704975155E+02
36;0.360020;39993; -1.428470210945E+02; -1.051008689718E-01; -6.822214448528E+02;  6.970160559835E+02
37;0.370057;39993; -1.104465914519E+02; -3.590347970582E-01; -6.910414068789E+02;  6.998119779559E+02
38;0.380025;39993; -1.248431796495E+02; -4.343118759584E-01; -6.988395017878E+02;  7.099032732639E+02
39;0.390067;39993; -1.173407151228E+02; -3.030195956436E-01; -6.960420393656E+02;  7.058636240880E+02
40;0.400051;39993; -1.040802918323E+02; -4.238590756098E-01; -6.721829337657E+02;  6.801931955337E+02
41;0.410077;39993; -1.158432707208E+02; -3.133220137655E-01; -6.722378505478E+02;  6.821462374382E+02
42;0.420008;39993; -9.664170873498E+01; -5.116915048897E-01; -6.446680892110E+02;  6.518717871962E+02
43;0.430011;39993; -1.069404610886E+02; -7.294010463486E-01; -6.745405286764E+02;  6.829653864368E+02
44;0.440023;39993; -9.379137757887E+01; -7.654570860126E-01; -6.877072251659E+02;  6.940739412902E+02
45;0.450078;39993; -8.728039089605E+01; -9.683950030672E-01; -6.778766269707E+02;  6.834731346710E+02
46;0.460055;39993; -9.331171568791E+01; -7.765714454458E-01; -6.561166856487E+02;  6.627192350721E+02
47;0.470079;39993; -8.072067886334E+01; -9.487852576892E-01; -6.187799051307E+02;  6.240234764679E+02
48;0.480019;39993; -8.879370618993E+01; -1.101463853472E+00; -6.435766846721E+02;  6.496741371912E+02
49;0.490026;39993; -7.623765783619E+01; -1.338715003948E+00; -6.422330968555E+02;  6.467436302948E+02
50;0.500051;39993; -7.633803703552E+01; -1.317163701734E+00; -6.625655772954E+02;  6.669500543785E+02
51;0.510031;39993; -7.474708953910E+01; -1.317090714670E+00; -6.624451181107E+02;  6.666501306017E+02
52;0.520034;39993; -6.638691431214E+01; -1.810842114560E+00; -6.304455886732E+02;  6.339338623378E+02
53;0.530035;39993; -5.837271898518E+01; -1.730962559737E+00; -6.202606085528E+02;  6.230036862455E+02
54;0.540025;39993; -4.498214861725E+01; -1.887207291042E+00; -6.158909724190E+02;  6.175343271048E+02
55;0.550021;39993; -4.120037529599E+01; -1.248664431573E+01; -6.419339913169E+02;  6.433759681701E+02
56;0.560039;39993; -2.206377976321E+01;  3.273630220245E+00; -6.645278785275E+02;  6.649021193924E+02
