Zone;Box;pt0;pt1;pt2;pt3;pt4;pt5;pt6;pt7
Reservoir;Box_0 [m];0:0.67:0;0:0:0;0.41:0:0;0.41:0.67:0;0:0.67:0.4;0:0:0.4;0.41:0:0.4;0.41:0.67:0.4
Tank;Box_1 [m];0.5:0.67:0;0.5:0:0;0.9:0:0;0.9:0.67:0;0.5:0.67:0.4;0.5:0:0.4;0.9:0:0.4;0.9:0.67:0.4
World;Box_2 [m];Unknown...

Time [s];Nok_Reservoir;Nok_Tank;Nok_World;Nout_Reservoir;Nout_Tank;Nout_World;Input_Reservoir;Input_Tank;Input_World;Output_Reservoir;Output_Tank;Output_World;InVel_Reservoir [m/s];InVel_Tank [m/s];InVel_World [m/s];InVolume_Reservoir [m^3];InVolume_Tank [m^3];InVolume_World [m^3];InFlow_Reservoir [m^3/s];InFlow_Tank [m^3/s];InFlow_World [m^3/s];OutVolume_Reservoir [m^3];OutVolume_Tank [m^3];OutVolume_World [m^3];OutFlow_Reservoir [m^3/s];OutFlow_Tank [m^3/s];OutFlow_World [m^3/s]
0;128310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0100862;128310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0200455;128310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0300511;128158;0;152;0;0;0;0;0;152;152;0;0;0;0;0.631463;0;0;9.3347e-05;0;0;0.0093295;9.3347e-05;0;0;0.0093295;0;0
0.0400619;127620;0;690;0;0;0;0;0;538;538;0;0;0;0;0.708966;0;0;0.000330399;0;0;0.0330043;0.000330399;0;0;0.0330043;0;0
0.0500495;126898;0;1412;0;0;0;0;0;722;722;0;0;0;0;0.712203;0;0;0.000443398;0;0;0.0443945;0.000443398;0;0;0.0443945;0;0
0.0600787;125940;0;2370;0;0;0;0;0;958;958;0;0;0;0;0.79946;0;0;0.000588332;0;0;0.058662;0.000588332;0;0;0.058662;0;0
0.0700816;124610;0;3700;0;0;0;0;0;1330;1330;0;0;0;0;0.886629;0;0;0.000816786;0;0;0.0816552;0.000816786;0;0;0.0816552;0;0
0.0800498;123150;0;5160;0;0;0;0;0;1460;1460;0;0;0;0;0.932864;0;0;0.000896623;0;0;0.0899486;0.000896623;0;0;0.0899486;0;0
0.0900166;121762;0;6548;0;0;0;0;0;1388;1388;0;0;0;0;0.964158;0;0;0.000852406;0;0;0.0855241;0.000852406;0;0;0.0855241;0;0
0.100012;120202;0;8108;0;0;0;0;0;1560;1560;0;0;0;0;1.02259;0;0;0.000958035;0;0;0.0958471;0.000958035;0;0;0.0958471;0;0
0.110072;118420;320;9570;0;0;0;0;320;1782;1782;0;320;0;1.69004;1.08388;0;0.00019652;0.00109437;0;0.0195354;0.108788;0.00109437;0;0.00019652;0.108788;0;0.0195354
0.120041;116598;866;10846;0;0;0;0;546;1822;1822;0;546;0;1.68972;1.10329;0;0.000335312;0.00111894;0;0.0336358;0.112243;0.00111894;0;0.000335312;0.112243;0;0.0336358
0.130008;114926;1822;11562;0;0;0;0;956;1672;1672;0;956;0;1.74428;1.13435;0;0.000587104;0.00102682;0;0.0589007;0.103015;0.00102682;0;0.000587104;0.103015;0;0.0589007
0.140083;113114;2894;12302;0;0;0;0;1072;1812;1812;0;1072;0;1.78281;1.14473;0;0.000658342;0.00111279;0;0.0653479;0.110457;0.00111279;0;0.000658342;0.110457;0;0.0653479
0.15005;111282;4186;12842;0;0;0;0;1292;1832;1832;0;1292;0;1.76569;1.12733;0;0.00079345;0.00112508;0;0.0796064;0.112878;0.00112508;0;0.00079345;0.112878;0;0.0796064
0.160033;109564;5700;13046;0;0;0;0;1514;1718;1718;0;1514;0;1.74227;1.11691;0;0.000929785;0.00105507;0;0.0931342;0.105683;0.00105507;0;0.000929785;0.105683;0;0.0931342
0.170073;108056;7378;12876;0;0;0;0;1678;1508;1508;0;1678;0;1.72713;1.10264;0;0.0010305;0.000926101;0;0.102638;0.0922399;0.000926101;0;0.0010305;0.0922399;0;0.102638
0.180026;106310;9042;12958;0;0;0;0;1664;1746;1746;0;1664;0;1.70534;1.0833;0;0.0010219;0.00107226;0;0.102676;0.107736;0.00107226;0;0.0010219;0.107736;0;0.102676
0.190051;104845;10662;12803;0;0;0;0;1620;1465;1465;0;1620;0;1.67254;1.04711;0;0.000994883;0.000899693;0;0.0992436;0.0897481;0.000899693;0;0.000994883;0.0897481;0;0.0992436
0.20005;103342;12352;12616;0;0;0;0;1690;1503;1503;0;1690;0;1.62671;1.01578;0;0.00103787;0.00092303;0;0.10379;0.0923053;0.00092303;0;0.00103787;0.0923053;0;0.10379
0.210003;101916;14016;12378;0;0;0;0;1664;1426;1426;0;1664;0;1.57997;1.02209;0;0.0010219;0.000875742;0;0.102679;0.0879927;0.000875742;0;0.0010219;0.0879927;0;0.102679
0.220038;100576;15701;12033;0;0;0;0;1685;1340;1340;0;1685;0;1.52797;0.983521;0;0.0010348;0.000822928;0;0.103116;0.0820031;0.000822928;0;0.0010348;0.0820031;0;0.103116
0.230068;98996;17104;12210;0;0;0;0;1403;1580;1580;0;1403;0;1.4977;0.972997;0;0.000861617;0.000970318;0;0.0859055;0.0967432;0.000970318;0;0.000861617;0.0967432;0;0.0859055
0.240049;97678;18648;11984;0;0;0;0;1544;1318;1318;0;1544;0;1.44909;0.944896;0;0.000948209;0.000809417;0;0.094999;0.0810937;0.000809417;0;0.000948209;0.0810937;0;0.094999
0.250017;96295;20098;11917;0;0;0;0;1450;1383;1383;0;1450;0;1.39392;0.957559;0;0.000890481;0.000849335;0;0.0893328;0.0852051;0.000849335;0;0.000890481;0.0852051;0;0.0893328
0.260082;94936;21533;11841;0;0;0;0;1435;1359;1359;0;1435;0;1.37336;0.938816;0;0.000881269;0.000834596;0;0.0875631;0.0829256;0.000834596;0;0.000881269;0.0829256;0;0.0875631
0.27003;93656;22866;11788;0;0;0;0;1333;1280;1280;0;1333;0;1.34653;0.930322;0;0.000818629;0.00078608;0;0.0822864;0.0790147;0.00078608;0;0.000818629;0.0790147;0;0.0822864
0.280052;92269;24324;11717;0;0;0;0;1458;1387;1387;0;1458;0;1.32476;0.933011;0;0.000895394;0.000851791;0;0.0893436;0.0849928;0.000851791;0;0.000895394;0.0849928;0;0.0893436
