Time [s];Reservoir_from_Reservoir;Reservoir_from_Tank;Reservoir_from_World;Reservoir_from_NEW;Tank_from_Reservoir;Tank_from_Tank;Tank_from_World;Tank_from_NEW;World_from_Reservoir;World_from_Tank;World_from_World;World_from_NEW;OUT_from_Reservoir;OUT_from_Tank;OUT_from_World;OUT_from_NEW
0;0;0;0;128310;0;0;0;0;0;0;0;0;0;0;0;0
0.0100862;128310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0200455;128310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.0300511;128158;0;0;0;0;0;0;0;152;0;0;0;0;0;0;0
0.0400619;127620;0;0;0;0;0;0;0;538;0;152;0;0;0;0;0
0.0500495;126898;0;0;0;0;0;0;0;722;0;690;0;0;0;0;0
0.0600787;125940;0;0;0;0;0;0;0;958;0;1412;0;0;0;0;0
0.0700816;124610;0;0;0;0;0;0;0;1330;0;2370;0;0;0;0;0
0.0800498;123150;0;0;0;0;0;0;0;1460;0;3700;0;0;0;0;0
0.0900166;121762;0;0;0;0;0;0;0;1388;0;5160;0;0;0;0;0
0.100012;120202;0;0;0;0;0;0;0;1560;0;6548;0;0;0;0;0
0.110072;118420;0;0;0;0;0;320;0;1782;0;7788;0;0;0;0;0
0.120041;116598;0;0;0;0;320;546;0;1822;0;9024;0;0;0;0;0
0.130008;114926;0;0;0;0;866;956;0;1672;0;9890;0;0;0;0;0
0.140083;113114;0;0;0;0;1822;1072;0;1812;0;10490;0;0;0;0;0
0.15005;111282;0;0;0;0;2894;1292;0;1832;0;11010;0;0;0;0;0
0.160033;109564;0;0;0;0;4186;1514;0;1718;0;11328;0;0;0;0;0
0.170073;108056;0;0;0;0;5700;1678;0;1508;0;11368;0;0;0;0;0
0.180026;106310;0;0;0;0;7378;1664;0;1746;0;11212;0;0;0;0;0
0.190051;104845;0;0;0;0;9042;1620;0;1465;0;11338;0;0;0;0;0
0.20005;103342;0;0;0;0;10662;1690;0;1503;0;11113;0;0;0;0;0
0.210003;101916;0;0;0;0;12352;1664;0;1426;0;10952;0;0;0;0;0
0.220038;100576;0;0;0;0;14016;1685;0;1340;0;10693;0;0;0;0;0
0.230068;98996;0;0;0;0;15701;1403;0;1580;0;10630;0;0;0;0;0
0.240049;97678;0;0;0;0;17104;1544;0;1318;0;10666;0;0;0;0;0
0.250017;96295;0;0;0;0;18648;1450;0;1383;0;10534;0;0;0;0;0
0.260082;94936;0;0;0;0;20098;1435;0;1359;0;10482;0;0;0;0;0
0.27003;93656;0;0;0;0;21533;1333;0;1280;0;10508;0;0;0;0;0
0.280052;92269;0;0;0;0;22866;1458;0;1387;0;10330;0;0;0;0;0
0.290033;90966;0;0;0;0;24143;1384;0;1303;181;10333;0;0;0;0;0
0.300011;89764;0;0;0;0;25198;1304;0;1202;329;10513;0;0;0;0;0
0.310026;88344;0;0;0;0;25984;1389;0;1420;518;10655;0;0;0;0;0
0.320045;87147;0;0;0;0;26660;1271;0;1197;713;11322;0;0;0;0;0
0.330016;85890;0;0;0;0;27125;1269;0;1257;806;11963;0;0;0;0;0
0.340059;84557;0;0;0;0;27525;1313;0;1333;869;12713;0;0;0;0;0
0.350022;83450;0;0;0;0;28032;1262;0;1107;806;13653;0;0;0;0;0
0.36002;82102;0;0;0;0;28399;1220;0;1348;895;14346;0;0;0;0;0
0.370057;80880;0;0;0;0;28751;1383;0;1222;868;15206;0;0;0;0;0
0.380025;79712;0;0;0;0;29283;1268;0;1168;851;16028;0;0;0;0;0
0.390067;78451;0;0;0;0;29658;1169;0;1261;893;16878;0;0;0;0;0
0.400051;77325;0;0;0;0;29964;1235;0;1126;863;17797;0;0;0;0;0
0.410077;76081;0;0;0;0;30336;1328;0;1244;863;18458;0;0;0;0;0
0.420008;74959;0;0;0;0;30841;1133;0;1122;823;19432;0;0;0;0;0
0.430011;73830;0;0;0;0;31124;1247;0;1129;850;20130;0;0;0;0;0
0.440023;72724;0;0;0;0;31529;1161;0;1106;842;20948;0;0;0;0;0
0.450078;71612;0;0;0;0;31829;1170;0;1112;861;21726;0;0;0;0;0
0.460055;70440;0;0;0;0;32150;1209;0;1172;849;22490;0;0;0;0;0
0.470079;69430;0;0;0;0;32512;1145;0;1010;847;23366;0;0;0;0;0
